date,product_id,domain,price,currency,price_pln,availability,url,via
2026-07-05,FM2797,imfixies.it,2317.5,EUR,9932.11,instock,https://imfixies.it/telai-gravel/telaio-gravel-salsa-cutthroat-c-29-carbonio.html,
2026-07-05,FM2797,bikejamming.it,2499.0,EUR,10709.96,instock,https://www.bikejamming.it/en/30986-16664salsa-cutthroat-carbon-frameset-tour-divide-bikepacking.html,
2026-07-05,LAUF-CARBONARA,laufcycles.com,1190.0,USD,4452.98,instock,https://www.laufcycles.com/product/lauf-carbonara,
2026-07-05,LAUF-CARBONARA,fatbikeadventures-store.com,1100.0,EUR,4714.27,instock,https://fatbikeadventures-store.com/products/lauf-carbonara-fatbike-fork,
2026-07-05,Lake MX190-X Wide,fahrrad-sperk.de,199.0,EUR,852.85,instock,https://www.fahrrad-sperk.de/product/lake-mx190-x-wide-111253/,
2026-07-05,Lake MX190-X Wide,sport-bittl.com,165.0,EUR,707.14,instock,https://www.sport-bittl.com/de/lake-mx190-wide-mountainbikeschuhe-schwarz::255373.html,
2026-07-05,Lake MX190-X Wide,sport-bittl.com,165.0,EUR,707.14,instock,https://www.sport-bittl.com/en/lake-mx190-wide-mountainbike-shoes-black::255373.html,
2026-07-05,Lake MX190-X Wide,de.lakecycling.com,199.0,EUR,852.85,instock,https://de.lakecycling.com/products/mx190,
2026-07-05,Lake MX190-X Wide,nl.lakecycling.com,199.0,EUR,852.85,instock,https://nl.lakecycling.com/en/collections/mtb/products/mx190,
2026-07-05,Lake MX190-X Wide,nl.lakecycling.com,199.0,EUR,852.85,instock,https://nl.lakecycling.com/en/products/mx190,
2026-07-05,DT Swiss Fatbike,rczbikeshop.com,71.99,EUR,308.53,instock,https://www.rczbikeshop.com/default/dt-swiss-rear-hub-350-classic-fatbike-is-32h-12x197mm-exp-xd-7613052319606.html?___store=default&___from_store=de,
2026-07-05,DT Swiss Fatbike,bikestacja.pl,419.99,PLN,419.99,instock,https://www.bikestacja.pl/piasta-przednia-dt-swiss-350-mtb-fatbike-6-srub-150x15-32h-p-25628.html,
2026-07-05,DT Swiss Fatbike,rczbikeshop.com,71.99,EUR,308.53,instock,https://www.rczbikeshop.com/en_ue/dt-swiss-rear-hub-350-classic-fatbike-is-32h-12x197mm-exp-xd-7613052319606.html,
2026-07-05,DT Swiss Fatbike,bike-discount.de,71.99,EUR,308.53,instock,https://www.bike-discount.de/it/dt-swiss-350-classic-fatbike-disc-6-fori-15x150mm-mozzo-anteriore,
2026-07-05,DT Swiss Fatbike,bike-components.de,71.99,EUR,308.53,instock,https://www.bike-components.de/de/DT-Swiss/350-Classic-Fatbike-Disc-6-Loch-VR-Nabe-p84200/,
2026-07-05,DT SWISS 350 12x148,bike-components.de,119.99,EUR,514.24,instock,https://www.bike-components.de/de/DT-Swiss/350-Classic-MTB-Boost-Disc-Center-Lock-HR-Nabe-p84203/,
2026-07-05,DT SWISS 350 12x148,dt4you.com,960.0,PLN,960.0,instock,https://dt4you.com/350-classic/350-148-12-cl-asl-r32-bm-asm-w-h350tcdbr32sa0465s/,
2026-07-05,DT SWISS 350 12x148,mtbiker.de,249.0,EUR,1067.14,instock,https://www.mtbiker.de/shop/laufrader-und-felgen/naben/mtb-naben-fur-scheibenrader/dt-swiss-350-boost-hinterradnabe-32-locher-12x148-mm-centerlock-freilaufkorper-sram-xd-p188909.html,
2026-07-05,DT SWISS 350 12x148,mtbiker.de,209.0,EUR,895.71,instock,https://www.mtbiker.de/shop/laufrader-und-felgen/naben/mtb-naben-fur-scheibenrader/dt-swiss-350-classic-hinterradnabe-6-locher-32-locher-12x157-mm-sram-xd-p250010.html,
2026-07-05,DT SWISS 350 12x148,cingolanibikeshop.com,204.9,EUR,878.14,instock,https://www.cingolanibikeshop.com/mozzo-dt-swiss-350-disc-cl-boost-12x148mm-sram-posteriore-nero.html,
2026-07-05,DT SWISS 350 12x148,mtbiker.it,249.0,EUR,1067.14,instock,https://www.mtbiker.it/shop/ruote-e-cerchi/mozzi-per-bici-/mozzi-disco-mtb/dt-swiss-350-boost-mozzo-posteriore-32-fori-12x148-mm-centerlock-corpetto-sram-xd-p188909.html,
2026-07-05,DT SWISS 350 12x148,bikestacja.pl,922.99,PLN,922.99,instock,https://www.bikestacja.pl/piasta-tylna-dt-swiss-350-mtb-centerlock-148x12-boost-32h-shimano-p-25717.html,
2026-07-05,DT SWISS 350 12x148,whizz-wheels.de,239.9,EUR,1028.14,limitedavailability,https://whizz-wheels.de/shop/HR-350-Disc-IS-Boost-12x148-mm-SRAM-XD-28-Loch-MY2021-schwarz-weiss/H350TDDRR28SA9100S,
2026-07-05,Ritchey WCS Carbon ErgoMax,bikeshopzizers.ch,230.34,CHF,1074.05,instock,https://bikeshopzizers.ch/ritchey-road-lenker-wcs-ergomax-42cm-c-c-oben-ud-carbon-31-8mm/,
2026-07-05,Canyon S14 VCLS 2.0,canyon.com,199.99,EUR,857.1,instock,https://www.canyon.com/de-de/fahrradzubehoer/fahrradteile/sattelstuetze-sattelklemme/canyon-s14-vcls-2.0-27.2mm-cf-sattelstuetze/148286.html,
2026-07-05,Canyon S14 VCLS 2.0,canyon.com,199.99,EUR,857.1,instock,https://www.canyon.com/en-de/gear/bike-parts/posts-and-clamps/canyon-s14-vcls-2.0-27.2mm-cf-seatpost/148286.html,
2026-07-05,Canyon S14 VCLS 2.0,canyon.com,909.99,PLN,909.99,instock,https://www.canyon.com/en-pl/gear/bike-parts/posts-and-clamps/canyon-s14-vcls-2.0-27.2mm-cf-seatpost/148286.html,
2026-07-05,Canyon S14 VCLS 2.0,canyon.com,199.99,EUR,857.1,instock,https://www.canyon.com/it-it/accessori-biciclette/componenti/reggisella-collarini/canyon-s14-vcls-2.0-27.2mm-cf-seatpost/148286.html,
2026-07-05,Canyon S14 VCLS 2.0,canyon.com,199.99,EUR,857.1,instock,https://www.canyon.com/en-it/gear/bike-parts/posts-and-clamps/canyon-s14-vcls-2.0-27.2mm-cf-seatpost/148286.html,
